# Theoretical AGN LF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-2 Mpc-3, n_0l = 1e0 Mpc-3
# Data explanation: M_1450 [mag], UV magnitude at 1450 Angstrom; Phi_h [Mpc-3 mag-1], unobscured AGN LF of heavy-seed BHs; Phi_l [Mpc-3 mag-1], unobscured AGN LF of light-seed BHs; Phi_h_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of heavy-seed BHs; Phi_l_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of light-seed BHs.
M_1450, Phi_h, Phi_l, Phi_h_intrinsic, Phi_l_intrinsic
-1.826176470588235645e+01, 3.858905753321250742e-05, 1.175987487954386804e-04, 2.411816095825781341e-04, 7.349921799714915528e-04
-1.810294117647058698e+01, 4.359133643514314163e-05, 1.447639445828960685e-04, 2.724458527196445268e-04, 9.047746536431002656e-04
-1.794411764705882462e+01, 4.906005735217310818e-05, 1.775883164102997974e-04, 3.066253584510820075e-04, 1.109926977564373429e-03
-1.778529411764706225e+01, 5.500733762881226127e-05, 2.171001584312861753e-04, 3.437958601800767278e-04, 1.356875990195538419e-03
-1.762647058823529278e+01, 6.144009420308560714e-05, 2.644790108148553317e-04, 3.840005887692848549e-04, 1.652993817592845593e-03
-1.746764705882353041e+01, 6.836263209046539819e-05, 3.210708843981297769e-04, 4.272664505654086980e-04, 2.006693027488310604e-03
-1.730882352941176805e+01, 7.577032786608190081e-05, 3.884002629710727145e-04, 4.735645491630120427e-04, 2.427501643569203883e-03
-1.714999999999999858e+01, 8.365252435438958432e-05, 4.681831215079369042e-04, 5.228282772149349562e-04, 2.926144509424605245e-03
-1.699117647058823621e+01, 9.199460903239935552e-05, 5.623387137351268904e-04, 5.749663064524958636e-04, 3.514616960844542740e-03
-1.683235294117647385e+01, 1.007698408144536628e-04, 6.729935719337161925e-04, 6.298115050903350942e-04, 4.206209824585725905e-03
-1.667352941176470438e+01, 1.099463296509925730e-04, 8.024876756538415262e-04, 6.871645603187025511e-04, 5.015547972836509674e-03
-1.651470588235294201e+01, 1.194865168521241699e-04, 9.533736372231146417e-04, 7.467907303257761975e-04, 5.958585232644465941e-03
-1.635588235294117965e+01, 1.293376289109480441e-04, 1.128401874218275258e-03, 8.083601806934247874e-04, 7.052511713864220363e-03
-1.619705882352941018e+01, 1.394460874976266498e-04, 1.330513022622873158e-03, 8.715380468601666153e-04, 8.315706391392955338e-03
-1.603823529411764781e+01, 1.497493127422910679e-04, 1.562808294938042688e-03, 9.359332046393192828e-04, 9.767551843362766092e-03
-1.587941176470588367e+01, 1.601669063972721227e-04, 1.828502006220724969e-03, 1.001043164982950984e-03, 1.142813753887952921e-02
-1.572058823529411775e+01, 1.706279839797991346e-04, 2.130896551596973571e-03, 1.066424899873744808e-03, 1.331810344748108298e-02
-1.556176470588235361e+01, 1.810454397772210539e-04, 2.473297540901349487e-03, 1.131533998607631153e-03, 1.545810963063343202e-02
-1.540294117647058947e+01, 1.913130406058201685e-04, 2.858923087473710326e-03, 1.195706503786371500e-03, 1.786826929671068986e-02
-1.524411764705882355e+01, 2.013541335036820104e-04, 3.290873092686569940e-03, 1.258463334398010613e-03, 2.056795682929105779e-02
-1.508529411764705941e+01, 2.110588458332823998e-04, 3.771944439141192758e-03, 1.319117786458014890e-03, 2.357465274463245442e-02
-1.492647058823529527e+01, 2.203083402644700345e-04, 4.304520099473182343e-03, 1.376927126652938149e-03, 2.690325062170738357e-02
-1.476764705882352935e+01, 2.290300262395347092e-04, 4.890547677748222424e-03, 1.431437663997094101e-03, 3.056592298592638451e-02
-1.460882352941176521e+01, 2.371004480772225323e-04, 5.531219711366970083e-03, 1.481877800482638008e-03, 3.457012319604355760e-02
-1.445000000000000107e+01, 2.444106119206283442e-04, 6.226926622846863310e-03, 1.527566324503924766e-03, 3.891829139279288918e-02
-1.429117647058823515e+01, 2.508997874898595201e-04, 6.977230244053382602e-03, 1.568123671811617881e-03, 4.360768902533363606e-02
-1.413235294117647101e+01, 2.564456818392258156e-04, 7.780449207342123551e-03, 1.602785511495161130e-03, 4.862780754588826720e-02
